|autores|titulo|ano|group
0|Fernanda Sayuri Yamasaki&SCHAMILOGLU, EDL&ROSSI, JOSE O.&BARROSO, JOAQUIM J.|simul studi distribut nonlinear gyromagnet line base lc lump model|2016|0.0
1|RANGEL, ELIZETE G. LOPES&BARROSO, JOAQUIM J.&ROSSI, JOSE O.&Fernanda Sayuri Yamasaki&SILVA NETO, LAURO P.&SCHAMILOGLU, EDL|influenc input puls shape rf gener nonlinear transmiss line|2016|1.0
2|Helder Fernando de Araujo Oliveira&Alisson Vasconcelos de Brito&Joseana Macêdo Fechine Régis de Araújo&Elmar Uwe Kurt Melcher|approach power estim electron system level distribut simul|2016|2.0
3|Fernando Antonio de Carvalho Gomes&José Gilvan Rodrigues Maia|learn optim decis list search diagnosi diseas|2016|3.0
4|HARBIN, JAMES&Leandro Soares Indrusiak|perform evalu latenc link power consumpt model algorithm switch network chip|2016|4.0
5|BRISOLARA, LISANE&FERREIRA, PAULO R.&Leandro Soares Indrusiak|applic model perform evalu event trigger sensor network|2016|5.0
6|Eduardo Cassiano da Silva&Jaqueline Aparecida Jorge Papini Soares&Danielli Araújo Lima|chaotic cellular automata fix border appli model imag|2016|6.0
7|Pamela Siegel&Pedro Mourão Roxo da Motta&Luis G. da Silva&Celso Stephan&Carmen Silvia Passos Lima&Nelson Filice de Barros|cancer patient undergo chemotherapi brazilian hospit pilot studi|2016|7.0
8|BISSI, WILSON&Adolfo Gustavo Serra Seca Neto&EMER, MARIA CLAUDIA FIGUEIREDO PEREIRA|effect test driven develop intern qualiti extern qualiti product review|2016|8.0
9|ABEL, MARA&Joel Luis Carbonera&PERRIN, MICHEL&Luan Fonseca Garcia|ontolog databas model whole substanc|2016|9.0
10|DA SILVA, NÁDIA FELIX FELIPE&Luiz Fernando Sommaggio Coletta&HRUSCHKA, EDUARDO R.&HRUSCHKA JR., ESTEVAM R.|inform improv semi tweet sentiment classif|2016|10.0
11|SILVA, NADIA FELIX F. DA&Luiz Fernando Sommaggio Coletta&HRUSCHKA, EDUARDO R.|survey compar studi tweet sentiment analysi semi learn|2016|11.0
12|Paulo Rogério de Almeida Ribeiro&Lopes, Gil&Ribeiro, Fernando|neural network comput vision middl size leagu|2016|12.0
13|Rafael M. Jesus&Ricardo C. Ferrari&Elerson Gaetti Jardim Jr&Ailton A. Shinoda&Christiane Marie Schweitzer|evalu beacon floodlight driver use emul appli softwar defin network|2016|13.0
14|Aleciana Vasconcelos Ortega&BOVOLATO, LUIZ FERNANDO&BOVOLATO, MARIÂNGELA CARVALHO&Christiane Marie Schweitzer|properti analysi complex network appli energi network distribut|2016|14.0
15|Ana Carolina Borsanelli&RAMOS, T. N. M.&GAETTI-JARDIM, E.&Christiane Marie Schweitzer&DUTRA, I. S.|treponema speci microflora periodont|2016|15.0
17|FONSECA, MARISA G.&ARAG'O, LUIZ EDUARDO O. C.&LIMA, ANDR'&Shimabukuro, Yosio E.&Egidio Arai&Anderson, Liana O.|model fire probabl brazilian amazon entropi method|2016|17.0
18|VEDOVATO, LAURA BARBOSA&FONSECA, MARISA GESTEIRA&Egidio Arai&ANDERSON, LIANA OIGHENSTEIN&ARAGÃO, LUIZ E. O. C.|extent forest fragment brazilian amazon|2016|18.0
19|SATO, LUCIANE&GOMES, VITOR&SHIMABUKURO, YOSIO&KELLER, MICHAEL&Egidio Arai&DOS-SANTOS, MAIZA&BROWN, IRVING&ARAGÃO, LUIZ|post fire chang forest biomass retriev airborn lidar|2016|19.0
20|HORNER, NATHANIEL&Antonio Geraldo de Paula Oliveira&SILBERGLITT, RICHARD&KHALED POPPE, MARCELO&BRESSAN ROCHA, BÁRBARA|energi foresight scenario energi polici brazil|2016|20.0
21|Rosângela Silqueira Hickson Rios&Welber da Silva Oliveira|schistosoma project turn result world treatment schistosoma|2016|21.0
23|COELHO, VITOR N.&COELHO, IGOR M.&COELHO, BRUNO N.&Agnaldo José da Rocha Reis&ENAYATIFAR, RASUL&SOUZA, MARCONE J.F.&GUIMARÃES, FREDERICO G.|self model load forecast problem grid environ|2016|23.0
24|COELHO, VITOR N.&COELHO, IGOR M.&COELHO, BRUNO N.&COHEN, MIRI WEISS&Agnaldo José da Rocha Reis&SILVA, SIDELMO M.&SOUZA, MARCONE J.F.&FLEMING, PETER J.&GUIMARÃES, FREDERICO G.|energi storag power dispatch plug vehicl|2016|24.0
25|Vitor Nazário Coelho&GUIMARÃES, FREDERICO G.&COELHO, IGOR M.&RIOS, EYDER&FILHO, ALEXANDRE S.T.&Agnaldo José da Rocha Reis&COELHO, BRUNO N.&ALVES, ALYSSON&NETTO, GUILHERME G.&SOUZA, MARCONE J.F.|hybrid deep learn forecast model disaggreg function evalu appli household electr demand forecast|2016|25.0
26|André Luís Andrade Menolli&PINTO, H. SOFIA&Sheila Reinehr&Andreia Malucelli|environ base media support learn|2016|26.0
27|REQUIÃO, RODRIGO D.&DE SOUZA, HENRIQUE JOSÉ ARAUJO&Silvana Rossetto&DOMITROVIC, TATIANA&PALHANO, FERNANDO L.|increas densiti associ posit charg residu profil experi perform absenc translat inhibitor|2016|27.0
29|Gilberto Clóvis Antonelli&NEITZEL, IVO|net applic cotton yarn industri|2016|29.0
30|QUISPE-CRUZ, MARCELA&HAEUSLER, EDWARD&Lew Gordeev|strong normal proof graph proposit logic|2016|30.0
31|Cesar Augusto Viana Melo&ARAUJO OLIVEIRA, JHONATHAN&FIGUEIREDO, GUSTAVO BITTENCOURT|peer assist video demand system build overlay|2016|31.0
32|Alexandre Cabral Mota&Juliano Manabu Iyoda&MARANHÃO, HEITOR|program synthesi model find|2016|32.0
33|DAVID, BERNARDO&Dowsley, Rafael&Jeroen Antonius Maria van de Graaf&MARQUES, DAVIDSON&Nascimento, Anderson C. A.&PINTO, ADRIANA C. B.|uncondit univers compos privaci preserv linear algebra|2016|33.0
35|THOMAS, ANDREW M.&FREITAS, HELANO C.&Israel Tojal Da Silva&NUNES, DIANA N.&SETUBAL, JOÃO C.&DIAS-NETO, EMMANUEL&JESUS, ELIANE C.&LOPES, ADEMAR&AGUIAR, SAMUEL&BEGNAMI, MARIA D.&ROCHA, RAFAEL M.&CARPINETTI, PAOLA AVELAR&CAMARGO, ANAMARIA A.&HOFFMANN, CHRISTIAN|tissu associ bacteri alter rectal carcinoma patient reveal commun profil|2016|35.0
36|MOTTA, JOSE MAURICIO S.T.&Carlos Humberto Llanos Quintero&SAMPAIO, RENATO CORAL|invers kinemat model calibr optim robot repair surfac profil hydraul turbin blade|2016|36.0
37|Sánchez-Ferreira, Camilo&Mori, Jones Y.&FARIAS, MYLÈNE C. Q.&Carlos Humberto Llanos Quintero|time stereo vision system distanc measur imag restor|2016|37.0
38|Flavio Luis de Mello&Jose Antonio Moreira Xexeo&Roberto Lins de Carvalho|outwit context sensit grammar|2016|38.0
39|Flavio Luis de Mello&Jose Antonio Moreira Xexeo|cryptograph algorithm identif machin learn massiv process|2016|39.0
40|BOROVINA JOSKO, J. M.&João Eduardo Ferreira|visual properti data qualiti assess case studi|2016|40.0
41|CARDOSO, CLARECI SILVA&REINGOLD, ARTHUR L&RIBEIRO, ANTONIO LUIZ P&Sabino, Ester Cerdeira&OLIVEIRA, CLAUDIA DI LORENZO&DE OLIVEIRA, LEA CAMPOS&FERREIRA, ARIELA MOTA&CUNHA-NETO, EDÉCIO&BIERRENBACH, ANA LUIZA&João Eduardo Ferreira&HAIKAL, DESIRÉE SANT'ANA|studi patient cardiomyopathi brazil trop project cohort profil|2016|41.0
42|DRIEMEIER, CARLOS&LING, LIU YI&SANCHES, GUILHERME M.&PONTES, ANGÉLICA O.&MAGALHÃES, PAULO S. GRAZIANO&João Eduardo Ferreira|environ support research sugarcan agricultur|2016|42.0
43|ALMEIDA, FERNANDA NASCIMENTO&TUNES, GISELA&DA COSTA, JULIO CEZAR BRETTAS&Sabino, Ester Cerdeira&MENDRONE-JÚNIOR, ALFREDO&João Eduardo Ferreira|proven model base specif data analys hemotherapi inform system|2016|43.0
44|Rodolfo Carneiro Cavalcante&BRASILEIRO, RODRIGO C.&SOUZA, VICTOR L.F.&NOBREGA, JARLEY P.&Adriano Lorena Inacio de Oliveira|comput intellig financi market survey futur direct|2016|44.0
45|Fernando Antônio Asevedo Nobrega&PARDO, THIAGO ALEXANDRE SALGUEIRO|improv content select updat summar subtop enrich sentenc rank function|2016|45.0
46|Alair Dias Júnior&MURALI, SRINIVASAN&RINCON, FRANCISCO&ATIENZA, DAVID|method estim puls transit time blood pressur variat sensor|2016|46.0
