|autores|titulo|ano|group
0|FARINELLI, ELAINE CRISTINA&BAQUERO, OSWALDO SANTOS&Celso Stephan&CHIARAVALLOTI-NETO, FRANCISCO|condition risk dengue fever relationship|2018|0.0
2|Elerson Gaetti Jardim Júnior&JARDIM, ELLEN CRISTINA GAETTI&Christiane Marie Schweitzer&DA SILVA, JÚLIO CESAR LEITE&OLIVEIRA, MURILO MOURA&MASOCATTO, DANILO CHIZZOLINI&DOS SANTOS, CAUÊ MONTEIRO|microbiota patients poor oral hygiene submitted radiotherapy head neck cancer treatment|2018|2.0
3|Danillo Roberto Pereira&João Paulo Papa&SARAIVA, GUSTAVO FRANCISCO ROSALIN&SOUZA, GUSTAVO MAIA|classification plant responses stimuli machine learning|2018|3.0
4|MARTINS, GUILHERME B.&Danillo Roberto Pereira&ALMEIDA, JURANDY G.&DE ALBUQUERQUE, VICTOR HUGO C.&João Paulo Papa|video summarization optimum path forest|2018|4.0
5|FERNANDES, SILAS E. N.&Danillo Roberto Pereira&RAMOS, CAIO C. O.&SOUZA, ANDRE N.&GASTALDELLO, DANILO S.&Papa, Joao P.|probabilistic optimum path forest classifier non technical losses detection|2018|5.0
6|GONÇALVES, FILIPE MARCEL FERNANDES&Ivan Rizzo Guilherme&Daniel Carlos Guimarães Pedronette|semantic guided interactive image retrieval plant identification|2018|6.0
7|Daniel Carlos Guimarães Pedronette&GONÇALVES, FILIPE MARCEL FERNANDES&Ivan Rizzo Guilherme|manifold learning reciprocal graph connected components image retrieval tasks|2018|7.0
8|RODRIGUES JR, ELDER&Ricardo Terra Nunes Bueno Villela|developers use features case ruby|2018|8.0
9|Hua Pei&Keila Roberta Ferreira de Oliveira&Peter Batista Cheung&Fabio Verissimo Gonçalves&Jin Zhang|influences model structure calibration data size predicting chlorine residuals water storage tanks|2018|9.0
10|DE ANDRADE, DAVI OLIVEIRA SERRANO&MAIA, LUIS FERNANDO&DE FIGUEIRÊDO, HUGO FEITOSA&VIANA, WINDSON&TRINTA, FERNANDO&Cláudio de Souza Baptista|photo annotation survey|2018|10.0
11|PISCO, JOÃO&BILHIM, TIAGO&COSTA, NUNO V.&RIBEIRO, MANUEL PINTO&FERNANDES, LUCIA&Antônio Manuel Gouveia de Oliveira|safety efficacy prostatic artery prostate cancer initial experience|2018|11.0
12|ALTHOFF, TIAGO DINIZ&SAMPAIO, EVERARDO VALADARES DE SÁ BARRETTO&MENEZES, RÔMULO SIMÕES CEZAR&PINTO, ALEXANDRE DE SIQUEIRA&PAREYN, FRANS GERMAIN CORNEEL&CARVALHO, ANDRÉ LUIZ DE&MARTINS, JÚLIO CÉSAR RODRIGUES&DE CARVALHO, ERIC XAVIER&Antonio Samuel Alves da Silva&DUTRA, EMMANUEL DAMILANO|adaptation century model simulate c n dynamics caatinga forest deforestation|2018|12.0
13|AZEVEDO, MARILA REZENDE&SENA, RONALDO&FREITAS, AMANDA MEDEIROS DE&SILVA, ANDREI NAKAGAWA&Edgard Afonso Lamounier Júnior&Alcimar Barbosa Soares|pattern sleep bruxism|2018|13.0
14|SILVA DE SOUZA, EVERTON&Alexandre Cardoso&Edgard Afonso Lamounier Júnior|virtual environment based training system wheelchair user use dimensional audio supported electroencephalography|2018|14.0
15|COLLOTTA, MARIO&PAU, GIOVANNI&Daniel Gouveia Costa|fuzzy based approach energy efficient wi fi communications dense wireless multimedia sensor networks|2018|15.0
16|Daniel Gouveia Costa&DURAN-FAUNDEZ, CRISTIAN&ANDRADE, DANIEL&ROCHA-JUNIOR, JOÃO&PEIXOTO, JOÃO|event based approach wireless sensor networks optimization exploiting social media smart city applications|2018|16.0
17|ROSÁRIO, DENIS&SCHIMUNECK, MATIAS&CAMARGO, JOÃO&NOBRE, JÉFERSON&BOTH, CRISTIANO&Juergen Rochol&GERLA, MARIO|service migration cloud multi tier fog nodes multimedia dissemination support|2018|17.0
18|Dina, Zayan&Atrisha, Sakar&Michel Oei&Rita Suzana Pitangueira Maciel&Krzysztof Czarnecki|example driven modeling effects examples model comprehension makes create|2018|18.0
19|RIOS, EYDER&OCHI, LUIZ SATORU&Maria Cristina Silva Boeres&COELHO, VITOR N.&COELHO, IGOR M.&FARIAS, RICARDO|exploring multi search strategies framework|2018|19.0
