autores*|*titulo*|*ano
Fernanda Sayuri Yamasaki&SCHAMILOGLU, EDL&ROSSI, JOSE O.&BARROSO, JOAQUIM J.*|*Simulation Studies of Distributed Nonlinear Gyromagnetic Lines Based on LC Lumped Model*|*2016
RANGEL, ELIZETE G. LOPES&BARROSO, JOAQUIM J.&ROSSI, JOSE O.&Fernanda Sayuri Yamasaki&SILVA NETO, LAURO P.&SCHAMILOGLU, EDL*|*Influence of Input Pulse Shape on RF Generation in Nonlinear Transmission Lines*|*2016
Helder Fernando de Araujo Oliveira&Alisson Vasconcelos de Brito&Joseana Macêdo Fechine Régis de Araújo&Elmar Uwe Kurt Melcher*|*An Approach for Power Estimation at Electronic System Level using Distributed Simulation*|*2016
Fernando Antonio de Carvalho Gomes&José Gilvan Rodrigues Maia*|*Learning Optimal Decision Lists as a Metaheuristic Search for Diagnosis of Parkinson?s Disease*|*2016
Shana Schlottfeldt Santos&Alexandre Araújo Costa*|*Em Busca do Poder: a Evolucao da Participacao Politica da Mulher na Camara dos Deputados Brasileira*|*2016
HARBIN, JAMES&Leandro Soares Indrusiak*|*Comparative performance evaluation of latency and link dynamic power consumption modelling algorithms in wormhole switching networks on chip*|*2016
BRISOLARA, LISANE&FERREIRA, PAULO R.&Leandro Soares Indrusiak*|*Application modeling for performance evaluation on event-triggered wireless sensor networks*|*2016
Arlete Teresinha Beuren&Jacques Facon*|*Separacao das Regioes de Ceu e Terra em Imagens Digitais*|*2016
Pedro Abel Vieira Junior&Antonio Marcio Buainain&Eliana Valéria Covolan Figueiredo*|*O BRASIL ALIMENTARA A CHINA OU A CHINA ENGOLIRA O BRASIL?*|*2016
Danielle Alencar Parente Torres&Dejoel de Barros Lima&Eliziário Noé Boeira Toledo&Maria Quitéria dos Santos Marcelino&Pedro Abel Vieira Junior&Renato Cruz Silva&Scheila Maria Correa Fogaça&Zander Navarro*|*O campo brasileiro: a emergencia de um novo padrao economico e social*|*2016
Eduardo Cassiano da Silva&Jaqueline Aparecida Jorge Papini Soares&Danielli Araújo Lima*|*One-dimensional Chaotic Cellular Automata with fixed border applied to a cryptosystem modeling for digital images*|*2016
Juliano Schimiguel&Diego Grasel B. Martinez&Eloi de Oliveira Santos&Lucas Cirilo dos Santos&Gustavo Toledo*|*Importancia de Interfaces Limpas (Clean Interfaces) em Jogos Digitais*|*2016
Amanda Andressa da Silva&Amanda Caroline Pereira&Antonio César Teixeira de Toledo&Juliano Schimiguel*|*Identificacao e Tratamento de Residuos Quimicos Desconhecidos em Aulas Praticas de Quimica Analitica*|*2016
Patricia Del Cistia&Juliano Schimiguel*|*Riscos Ocupacionais na Fabricacao de Cosmeticos: o Ensino da Seguranca nos Processos de Fabricacao da Industria Cosmetica*|*2016
Lucas Fernando Stoco&Juliano Schimiguel*|*Um Estudo Introdutorio e Aplicacao Pratica de seus Beneficios para uma Empresa de Reciclagem de Jundiai-SP*|*2016
Peterson Tubini Bezerra&Juliano Schimiguel*|*Desenvolvimento de Aplicacoes Mobile Cross-Platform utilizando Phonegap*|*2016
Débora da Silva&Juliano Schimiguel*|*O Impacto da Gestao do Conhecimento no Processo de Analise e Tomada de Decisao de uma Empresa do Setor Automotivo em Jundiai-SP*|*2016
Ana Caroline Zavatta&Juliano Schimiguel*|*Seguranca da Informacao ? Segregacao de Funcao*|*2016
Josney Freitas Silva&Juliano Schimiguel*|*Problem-Based Learning, Educacao Estatistica e Educacao a Distancia: um estudo teorico sobre possiveis convergencias no ensino superior*|*2016
Leonardo Ferreira Silva&Matheus Dias Pinheiro&Rick Rodrigues dos Santos&Juliano Schimiguel*|*O Crescimento dos Jogos no Mercado Mobile e suas Acessibilidades*|*2016
Rita Angelita de Farias&Juliano Schimiguel&Rosemary Aparecida Santiago*|*Saberes Docentes para o Campo da Tecnologia na Educacao Brasileira*|*2016
Adelson de Paula Silva&Juliano Schimiguel*|*Parques Cientificos e Tecnologicos como Indutores de Inovacao no Ensino a Partir de uma Abordagem CTS*|*2016
Sidney Maia Araújo&Juliano Schimiguel*|*Mobile Learning: Uma Analise dos Resumos dos Artigos Publicados na Revista Novas Tecnologias na Educacao (RENOTE) no Periodo de 2003-2014*|*2016
Fernando Aguiar Feitosa&Juliano Schimiguel*|*Criacao de Aplicativo baseado em Android que auxilie na Comunicacao entre Pessoas que Nao Possuem Fala*|*2016
Mariana Simões Germano&Viviani de Cássia Garcia&Gilmar Ferreira de Aquino Filho&Luiz Henrique do Amaral&Juliano Schimiguel*|*Analise Curricular do Curso de Graduacao Presencial em Ciencias Contabeis de Universidades da Baixada Santista*|*2016
Leandro Della Croche&Leonardo Henrique dos Santos&Danilo Ramalho da Silva&Michel Henkes Salerno&Josivan Fernandes de Lima&Dalve Rodrigues da Silva&Juliano Schimiguel*|*Realidade Virtual - A Viabilidade da Imersao Total na Atualidade*|*2016
Juliano Schimiguel&David Wellington Neves&Irene Aparecida de Jesus&Marcos Antônio Cagliari&Odácio Machado&Érica Alves Chaves*|*Aplicacao de Brocas Helicoidais de Metal Duro na Melhoria do Processo de Furacao com Corte Interrompido*|*2016
Lucy Mirian Campos Tavares Nascimento&Rita de Cássia Frenedozo&Juliano Schimiguel*|*Os Institutos Federais do Centro-Oeste e a Formacao dos Licenciados em Ciencias e Biologia para o Uso das Tecnologias da Informacao e Comunicacao*|*2016
Lucy Mirian Campos Tavares Nascimento&Rita de Cássia Frenedozo&Juliano Schimiguel*|*Uso das TICs em uma Experiencia Didatica para o Aprendizado Significativo*|*2016
Juliano Schimiguel&Everton Joventino da Silva&Martha Reis Souza&Maria Delourdes Maciel&Carmem Lúcia Costa Amaral*|*A Participacao Docente em Cursos de Formacao Continuada atraves do Ambiente Virtual da Escola de Formacao e Aperfeicoamento de Professores do Estado de Sao Paulo*|*2016
