|autores|titulo|ano
2|Patricia Cristiane de Souza&Cristiano Maciel|legal issue user experience ubiquitous system privacy perspective|2015
4|Daniel Almeida Chagas&Maria Elizabeth Sucupira Furtado&Camila Moura Moreira&Pinheiro, Plácido Rogério|analyze interaction design educational map application digital user preference|2015
7|Rodrigo Siqueira-Batista&Felippe Cardoso&Andréia Patrícia Gomes&Julia de Oliveira Fonseca&Alesson Filipi Bernini&Leonardo Vasconcelos Barros&Camila Ribeiro Souza&Vanderson Esperidião Antônio&Israel Teoldo da Costa|decision make study use mobile eye track|2015
8|Alessandro Y. Bokan Garay&Thiago Alexandre Salgueiro Pardo|aspect identification case informative news text|2015
10|Baldoino Santos Neto&Marcio Ribeiro&Viviane Torres da Silva&Christiano Braga&Evandro Costa&Carlos José P. de Lucena|platform build refactor agent|2015
11|BERNARDES, J.S.&VIEIRA, F.R.J.&Gerson Zaverucha&CARBONE, A.|objective optimization approach accurately resolve protein domain architecture|2015
12|CARVALHO, L. E.&MANTELLI NETO, S. L.&Antonio Carlos Sobieranski&Eros Comunello&VON WANGENHEIM, A.|improve graph base image segmentation use nonlinear color similarity metric|2015
15|Aluizio Haendchen Filho&César Ricardo Maia de Vasconcelos|development intelligent enterprise application use multi agent system|2015
18|Ivan da Costa Marques|computer market reserve democracy authoritarianism rupture|2015
19|Eric Aislan Antonelo&Benjamin Schrauwen|learn navigation behavior small mobile robot reservoir compute architecture|2015
22|MELO, ALEXSANDRO&Tavares, Eduardo&SOUSA, ERICA&Bruno Costa e Silva Nogueira&Maciel, Paulo|approach evaluate impact risk software development|2015
23|Juliana Saraiva&Micael Soares&Sergio Castelo Branco Soares&Fernando Castor&Renata Souza|classify metric assess object orient software maintainability family metric catalog|2015
24|Luciano Calheiros Lapas&Rafael Morgado Silva&André Luiz Almeida Penna&Fernando Albuquerque de Oliveira|non equilibrium fluctuation dissipation theorem diffusion|2015
26|Allan da Silva Pinto&William Robson Schwartz&Hélio Pedrini&Anderson de Rezende Rocha|use visual rhythm detect video base facial spoof attack|2015
29|Paulo C. D. Paris&Emerson Carlos Pedrino&Maria do Carmo Nicoletti|learn image filter use|2015
31|K Ivanov&Kudinov A.V&Markov N.G&Michele Campagna&Pierangelo Massa|orchestration integration spatial web service plan support system design|2015
32|BRAIDA, FILIPE&Carlos Eduardo Ribeiro de Mello&PASINATO, MARDEN B.&ZIMBRÃO, GERALDO|transform filter learn|2015
34|Vitor Guerra Rolla&Marilia Curado|simple survey incentive mechanism user provide network|2015
35|Artur Alves Pessoa&Michael Poss|robust network design uncertain outsource cost|2015
37|Alcides Ortega&Ailton Akira Shinoda&Christiane Marie Schweitzer&Fabrizio Granelli|simulation communication protocol protocol g wireless network smart grid application|2015
39|Daniel Gomes Ferrari&Leandro Nunes de Castro|algorithm selection meta learn system distance base problem characterization rank combination method|2015
40|SANCHEZ, GUSTAVO&Mario Saldanha&BALOTA, GABRIEL&Bruno Zatt&PORTO, MARCELO&Luciano Volcan Agostini|complexity reduction scheme efficiency video cod depth map code|2015
41|DORINI, FABIO ANTONIO&Leyza Elmeri Baldo Dorini&LESINHOVSKI, WILLIAN CARLOS|analysis morphological gradient approach|2015
42|Fabio Augusto Faria&Jurandy Gomes de Almeida Junior&Bruna Alberton&Leonor Patrícia Cerdeira Morellato&Anderson Rocha&Ricardo da Silva Torres|time series base classifier fusion fine grain plant species recognition|2015
44|Anisio Mendes Lacerda&SANTOS, RODRYGO L. T.&VELOSO, ADRIANO&Nivio Ziviani|improve deal recommendation use explore exploit strategy|2015
45|DE SIQUEIRA, MARCOS ANTONIO&VAN ?T HOOFT, FABIAN NICOLAAS CHRISTIAAN&DE OLIVEIRA, JULIANO RODRIGUES FERNANDES&Edmundo Roberto Mauro Madeira&ROTHENBERG, CHRISTIAN ESTEVE|provide optical network service policy base transport|2015
47|Ed´ Wilson Tavares Ferreira&A. A. Shinoda&Ruy de Oliveira&Valtemir Emerencio do Nascimento&NELCILENO VIRGÍLIO DE S ARAÚJO|methodology build assess intrusion detection system wireless network|2015
48|TREVISANI, MARIANE&COHRS, CIBELLI RIZZO&DE LARA SOARES, MARIÂNGELA ABATE&DUARTE, JOSÉ MARCIO&Felipe Mancini&Ivan Torres Pisa&Edvane Birelo Lopes De Domenico|evaluation learn oncology undergraduate nurse use concept map|2015
49|CAMOZZATO, DANIEL&DIHL, LEANDRO&SILVEIRA, IVAN&Fernando Pinho Marson&MUSSE, SORAIA R.|floor plan generation build sketch|2015
51|Kalil Araujo Bispo&Nelson Souto Rosa&Paulo Roberto Freire Cunha|infrastructure wireless sensor network|2015
53|BERTACCHI, MARIA ISABEL F.&AMAZONAS, NINO T.&BRANCALION, PEDRO H. S.&BRONDANI, GILVANO E.&Anderson Castro Soares de Oliveira&DE PASCOA, MARCELINO A. R.&RODRIGUES, RICARDO R.|establishment tree seedling restoration plantation regeneration enrichment plant|2015
56|LORENZINI, GIULIO&Emanuel da Silva Diaz Estrada&DOS SANTOS, ELIZALDO DOMINGUES&ISOLDI, LIÉRCIO ANDRÉ&ROCHA, LUIZ ALBERTO OLIVEIRA|design cavity insert body cool|2015
57|VIEIRA, VILSON&FABBRI, RENATO&SBRISSA, DAVID&Luciano da Fontoura Costa&Gonzalo Travieso|approach paint style|2015
61|Nguessan Desire&MARTINI, JOSE SIDNEI COLOMBO|framework security privacy management mobile base tuple|2015
62|Antonio Díaz Tula&MORIMOTO, CARLOS H.&RANVAUD, RONALD D.|model reaction time function fixation point brightness gain|2015
63|BHATTACHARYA, AVIK&Arnab Muhuri&Shaunak De&Surendar Manickam&Alejandro César Frery Orgambide|modify component decomposition scatter power use distance|2015
64|VALDIR AMANCIO PEREIRA&MATHEUS FERRARONI SANCHES&Leonardo Castro Botega&JESSICA OLIVEIRA DE SOUZA&Caio Saraiva Coneglian&Elvis Fusco&MÁRCIO ROBERTO DE CAMPOS|criterion fusion heterogeneous information improve situation awareness emergency management system|2015
65|Felipe Codevilla&Silvia Silva da Costa Botelho&Nelson Duarte&Samuel Purkis&A. S. M. Shihavudin&Rafael Garcia&Nuno Gracias|context ware image classification|2015
70|BRAGA, JOÃO&D?AMICO, FLAVIO&AVILA, MANUEL A. C.&PENACCHIONI, ANA V.&RODRIGO SACAHUI, J.&Valdivino Alexandre de Santiago Júnior&MATTIELLO-FRANCISCO, FÁTIMA&STRAUSS, CESAR&FIALHO, MÁRCIO A. A.|x ray image balloon experiment|2015
71|MELO, LUCAS T.&DE SANTANA, SILVIO H.C.&Abel Guilhermino da Silva Filho&DE LIMA, MANOEL E.&DE MEDEIROS, VICTOR W.C.&MARINHO, MARCELO L.M.|inter communication bus error detection clock phase adjustment|2015
72|Sandra Mara Silva Brignol&Dourado, Inês&AMORIM, LEILA DENISE&MIRANDA, JOSÉ GARCIA VIVAS&KERR, LÍGIA R. F. S.|network man sex man study recruitment chain use respondent drive sample state|2015
73|Carolina Palma Pimenta Furlan&Lucas Santa Bárbara Gomes&MARCELO LISBOA ROCHA&David Nadler Prata&Anderson da Silva Soares&Clarimar José Coelho|use algorithm k mean centrality analysis social network focus commercial disclosure|2015
75|Fabiano Cutigi Ferrari&P. CAFEO, BRUNO B.&LEVIN, THIAGO G.&S. LACERDA, JÉSUS T.&L. LEMOS, OTÁVIO A.&Jose Carlos Maldonado&MASIERO, PAULO C.|test aspect orient program difficulty lesson learn base experience|2015
79|João Manoel Losada Moreira&Elissando Rocha da Silva&Giovano Candiani|approximate estimation landfill emission consider methane oxidation|2015
81|CHUD, TATIANE C. S.&MARCONDES, CINTIA R.&REGITANO, LUCIANA C. A.&MUNARI, DANÍSIO P.&VENTURA, RICARDO V.&SCHENKEL, FLAVIO S.&CARVALHEIRO, ROBERTO&BUZANSKAS, MARCOS E.&ROSA, JAQUELINE O.&Mauricio de Alvarenga Mudadu&DA SILVA, MARCOS VINICIUS G. B.&MOKRY, FABIANA B.|strategy imputation beef cattle|2015
83|Jing Liao&Diego Fernandes Nehab&Hugues Hoppe&Pedro V. Sander|new control combine image correspondence|2015
86|DOS SANTOS, TIAGO R.L.&Luis Enrique Zárate Gálvez|categorical datum cluster similarity measure recommend|2015
87|Ricardo de Andrade Araújo&A. OLIVEIRA&S. MEIRA|model frequency stock market forecast|2015
88|Caio Merlini Giuliani&Eduardo Camponogara|method apply production optimization gas lift oil field|2015
89|Michael R. Fellows&Uéverton dos Santos Souza&Fábio Protti&Maise Dantas da Silva|complexity flood fill game tree|2015
91|Fernando Afonso Santos&Geraldo Robson Mateus&Alexandre Salles Cunha|branch cut price algorithm echelon vehicle rout problem|2015
92|Fernando Stefanello&Luciana Salete Buriol&Michael Hirsch&Panos M. Pardalos&Tania Maia Querido&Mauricio G.C. Resende&Marcus Ritt|minimization traffic congestion road network toll|2015
94|Marcelo Henriques de Carvalho&Cláudio Leonardo Lucchesi&U. S. R. Murty|edge brace|2015
95|Maurício Braga de Paula&JUNG, CLAUDIO ROSITO|automatic detection classification road lane marking use onboard vehicular camera|2015
97|OLIVEIRA, ALEX LOPES DE&MAGRINI, LUIZ CARLOS&Hae Yong Kim&CARNEIRO, EDVALDO FÁBIO&PINFARI, JÚLIO CÉSAR|image process integration tool dam safety system grid|2015
98|BOTLER, F.&MOTA, G.O.&Marcio Takashi Iura Oshiro&WAKABAYASHI, Y.|path decomposition graph prescribe girth|2015
99|Clezio Marcos Denardini&A L Padilha&N Santanna&L R Alves&Marlos Rockenbach da Silva&M A Gende&S S Chen&P R Fagundes&Nelson Jorge Schuch&Adriano Petry&L C A Resende&J Moro|step develop k index embrace magnetometer network|2015
102|TAMANINI, ISABELLE&Plácido Rogério Pinheiro&MACHADO, THAIS CRISTINA SAMPAIO&ALBUQUERQUE, ADRIANO BESSA|approach verbal decision analysis selection project management approach|2015
103|Jose Claudio Vieira Junior&Alisson Vasconcelos de Brito&Tiago Pereira Nascimento|verification embed system design hardware software co simulation|2015
108|Fábio Daros de Freitas&FREITAS, CHRISTIAN DAROS&Alberto Ferreira De Souza|trade architecture|2015
109|DORS, O. L.&CARDACI, M. V.&HÄGELE, G. F.&Irapuan Rodrigues de Oliveira Filho&GREBEL, E. K.&PILYUGIN, L. S.&Priscila Freitas Lemes&KRABBE, A. C.|abundance nucleus star form galaxy|2015
111|Leonardo de Jesus Silva&Daniela Barreiro Claro&Denivaldo Cicero Pavão Lopes|semantic base cluster web service|2015
113|OLIVEIRA, JOSÉ ANTONIO&PRADO, FELIPE&DE LIMA, FLÁVIA M.&Marcelo Gonçalves Rubinstein&Alexandre Sztajnberg|improve peer neighborhood video distribution network use push pull protocol|2015
114|PILLA, LAERCIO L.&OLIVEIRA, DANIEL A. G.&LUNARDI, CAIO&Philippe Olivier Alexandre Navaux&CARRO, LUIGI&RECH, PAOLO|memory access time input size effect parallel processor reliability|2015
116|IWAFUNE, YUMIKO&IKEGAMI, TAKASHI&Joao Gari da Silva Fonseca Junior&OOZEKI, TAKASHI&Ogimoto, Kazuhiko|home energy management use battery system consider diversity household|2015
118|Roberto Albuqerque Lima&Rosileide F. S. Andrade&Daylin R. Ribeaux&Patricia N. Santos&Clarissa Daisy da Costa Albuquerque&Galba Maria de Campos-Takaki|production long chain omega omega fatty acid candida strain|2015
119|Thiago Lima Silva&Eduardo Camponogara&Alex Furtado Teixeira&Snjezana Sunjerga|model flow split production optimization gas lift oil field simulation validation application|2015
121|Júlio César Silva Araújo&Grégory Morel&Leonardo Sampaio&Ronan Soares&Valentin Weber|hull numb|2015
122|OLIVEIRA, F.L.M.&MAIA, H.A.&Virgínia Fernandes Mota&VIEIRA, M.B.&Arnaldo de Albuquerque Araújo|variable size block match base descriptor human action recognition|2015
123|Fernando Figueira Filho&Marcelo G. Perin&Christoph Treude&Sabrina Marczak&Leandro Melo&Igor M. da Silva&Lucas B. dos Santos|study distribution prestigious software developer|2015
125|Nivaldo Antonio da Silva&Simone Xavier Galvão&Marcelo Pereira Bergamaschi|mobile compute architecture|2015
127|Felipe Moraes&Silvia Botelho&Nelson Lopes Duarte Filho&Samuel Purkis&A. Shihavuddin&Rafael Garcia&Nuno Gracias|context aware image classification|2015
133|RODRIGUES, PAULO S.&WACHS-LOPES, GUILHERME A.&ERDMANN, HORST R.&Monael Pinheiro Ribeiro&GIRALDI, GILSON A.|improve image segmentation use entropy|2015
134|Juliano T Brignoli&Maria Marlene de Souza Pires&Silvia Modesto Nassar&SELL, DENILSON|model base superposition state apply clinical reason support|2015
136|BEHREND, JÖRG&Djones Vinicius Lettnin&GRÜNHAGE, ALEXANDER&Jürgen Ruf&Thomas Kropf&Wolfgang Rosenstiel|optimize hybrid verification embed software|2015
137|BELLI, FEVZI&BEYAZ'T, MUTLU&ENDO, ANDRE TAKESHI&MATHUR, ADITYA&Adenilso da Silva Simão|fault domain base test situation approach case study|2015
138|MORENO, DANIEL&Sergio Fabian Ochoa&MESEGUER, ROC|context model provide position disaster relief scenario|2015
140|MATOS, FERNANDO&MATOS, ALEXANDRE&SIMÕES, PAULO&Edmundo Heitor da Silva Monteiro|provision inter domain aware service|2015
141|Ricardo Azambuja Silveira&Guilherme Klein Bitencourt&GELAIM, THIAGO ANGELO&Jerusa Marchi&Fernando De La Prieta|model open reliable cognitive system deal trust emotion|2015
143|Guilherme Galante&Rogério Luis Rizzi&Claudia B. Rizzi|simulate process use community scale network|2015
144|GIOVANNINI, A.&AUBRY, A.&Hervé Panetto&EL HAOUZI, H.&PIERREL, L.&DASSISTI, M.|anti framework design knowledge representation|2015
145|MÌRIAN OLIVEIRA&Carla Maria Marques Curado&Antonio Carlos Gastaud Maçada&Felipe Nodari|use scale measure knowledge share behavior difference|2015
148|MEDEIROS, HUGO REIS&BOCHIO, GABRIELA MENEZES&Milton Cezar Ribeiro&TOREZAN, JOSÉ MARCELO&DOS ANJOS, LUIZ|combine plant bird datum increase accuracy index integrity assess conservation level forest fragment|2015
150|Carlos Roberto Sanquetta&Mateus Niroh Inoue Sanquetta&Ana Paula Dalla Corte&Sylvio Pellico Neto&Francelo Mognon&Aurélio Lourenço Rodrigues&Jaime Wojciechowski|model volume bamboo plantation|2015
151|PEREIRA, ROBERTO&Maria Cecilia Calani Baranauskas|value orient culturally inform approach design system|2015
153|Wilfredo Blanco Figuerola&Adrião Doria Neto&Sidarta Ribeiro&Catia Mendes Pereira&Vinicius Rosa Cota&Annie Costa Souza&César Rennó-Costa&Sharlene Santos&Gabriella Dias&Ana M. G. Guerreiro&Adriano B. L. Tort|synaptic homeostasis restructure sleep wake cycle|2015
154|PEREIRA, ADRIANO JOSÉ&CORRÊA, THIAGO DOMINGOS&DE ALMEIDA, FRANCISCA PEREIRA&Rodrigo Octávio Deliberato&LOBATO, MICHELLE DOS SANTOS&AKAMINE, NELSON&SILVA, ELIÉZER&CAVALCANTI, ALEXANDRE BIASI|inaccuracy venous point care glucose measurement critically ill patient cross sectional study|2015
156|Flávio A G Mourão&LOCKMANN, A. L. V.&Gabriel P Castro&DE CASTRO MEDEIROS, D.&marina padua reis&PEREIRA, G. S.&Andre Ricardo Massensini&Marcio Flavio Dutra Moraes|trigger different brain state use asynchronous serial communication rat|2015
157|Andriele Busatto do Carmo&RAEDER, MATEUS&NUNES, THIAGO&KOLBERG, MARIANA&FERNANDES, LUIZ GUSTAVO|job profile orient schedule architecture improve throughput print environment|2015
159|Dilson Lucas Pereira&Michel Gendrau&Alexandre Salles da Cunha|bound exact algorithm quadratic minimum spin tree problem|2015
161|MEGUINS, LUCAS CROCIATI&Rodrigo Antonio Rocha da Cruz Adry&SILVA JÚNIOR, SEBASTIÃO CARLOS DA&PEREIRA, CARLOS UMBERTO&OLIVEIRA, JEAN GONÇALVES DE&MORAIS, DIONEI FREITAS DE&ARAÚJO FILHO, GERARDO MARIA DE&MARQUES, LÚCIA HELENA NEVES|long epilepsy duration lobe involvement predict seizure outcome patient lobe epilepsy associate|2015
