id | nome_cit 
96913881679975 | SANTOS, R. D. C.
96913881679975 | Santos, R.
96913881679975 | Santos, Rafael
96913881679975 | Santos, Rafael D. C.
96913881679975 | DOS SANTOS, RAFAEL DUARTE COELHO
96913881679975 | COELHO DOS SANTOS, RAFAEL D.
96913881679975 | SANTOS, RAFAEL D.C.
96913881679975 | DUARTE COELHO DOS SANTOS, RAFAEL
23958115215905 | Miletto, E. M.
23958115215905 | MILETTO, EVANDRO MANARA
44364437159422 | WUNDER, S.
12195457575500 | COSTA, Robson
12195457575500 | Costa, Robson
12195457575500 | COSTA, R.
12195457575500 | Costa, R.
96441655292018 | YAMASAKI, F. S.
96441655292018 | YAMASAKI, F.S.
96441655292018 | YAMASAKI, FERNANDA SAYURI
96441655292018 | Yamasaki, Fernanda S.
91483000525292 | GERSBERG, I. W.
91483000525292 | WOLFF, IVO
97916965255705 | OLIVEIRA, H. F. A.
43377806715007 | CUNHA, T. O.
43377806715007 | Cunha, Tiago de Oliveira
43377806715007 | CUNHA, TIAGO OLIVEIRA
22110232147076 | MAIA, J. G. R.
22110232147076 | MAIA, JOSE G. R.
22110232147076 | MAIA, JOSÉ G. R.
22110232147076 | MAIA, JOSE GILVAN RODRIGUES
22110232147076 | MAIA, JOSÉ GILVAN R.
10659969702455 | ROMERO, M. E. R.
10659969702455 | Romero, M.E
10659969702455 | Romero, M.E.
10659969702455 | ROMERO, MILTON ERNESTO
23809873085852 | MONTEIRO, R. S.
23809873085852 | Monteiro, Rodrigo Salvador
23809873085852 | SALVADOR, RODRIGO
29233355476625 | BIGONHA, R. S.
29233355476625 | BIGONHA, Roberto S.
29233355476625 | Roberto da Silva Bigonha
29233355476625 | da Silva Bigonha, Roberto
29233355476625 | BIGONHA, ROBERTO S.
29233355476625 | BIGONHA, ROBERTO S
29233355476625 | S. BIGONHA, ROBERTO
26358605322965 | SBRUZZI, E. F.
26358605322965 | SBRUZZI, ELTON
54585240202717 | SCHLOTTFELDT, Shana
54585240202717 | Schlottfeldt-Santos, Shana
54585240202717 | Schlottfeldt-Santos, S.
54585240202717 | Santos, S.
54585240202717 | SCHLOTTFELDT-SANTOS, Shana
54585240202717 | Schlottfeldt, Shana
54585240202717 | SCHLOTTFELDT, S.
54585240202717 | SANTOS, Shana
54585240202717 | SANTOS, S.
33981436042117 | LIMA, R. M. F.
33981436042117 | Lima, Ricardo M.F.
33981436042117 | Lima, Ricardo M. F.
33981436042117 | LIMA, RICARDO
29796450556482 | INDRUSIAK, L. S.
29796450556482 | Indrusiak, Leandro S.
29796450556482 | Indrusiak, Leandro Soares
29796450556482 | INDRUSIAK, L S
29796450556482 | INDRUSIAK, L.S.
29796450556482 | Soares Indrusiak, L.
29796450556482 | SOARES INDRUSIAK, LEANDRO
29796450556482 | INDRUSIAK, LEANDRO
84145280240578 | BEUREN, Arlete Teresinha
31705260681319 | VIEIRA JUNIOR, P. A.
67454249660429 | SOUZA, F. J.
31046457146533 | Araújo Lima, D.
31046457146533 | Lima, Danielli A.
31046457146533 | LIMA, D. A.
69944592699552 | FICKEL, G. P.
47384210554210 | SCHIMIGUEL, J.
47384210554210 | Schimiguel, Juliano
85528501919153 | LOPES, E. P.
16513273272803 | STEPHAN, C
16513273272803 | Stephan, C.
16513273272803 | CELSO STEPHAN
16513273272803 | STEPHAN C
83781586520627 | ABDALA, D. D.
83781586520627 | Abdala, Daniel Duarte
83781586520627 | Abdala, Daniel D.
83781586520627 | ABDALA, D
83781586520627 | Abdala, D.D.
83781586520627 | ABDALA, DANIEL
44685237701056 | Lopes, Wenderson
71119715272492 | NETO, Adolfo
71119715272492 | NETO, ADOLFO G. S. S.
71119715272492 | SERRA-SECA-NETO, ADOLFO G.
71119715272492 | NETO, ADOLFO GUSTAVO SERRA SECA
71119715272492 | NETO, ADOLFO GUSTAVO S. S.
71119715272492 | SERRA SECA NETO, ADOLFO GUSTAVO
71119715272492 | NETO, ADOLFO G. SERRA SECA
71119715272492 | SECA NETO, ADOLFO GUSTAVO SERRA
71119715272492 | GUSTAVO SERRA SECA NETO, ADOLFO
71119715272492 | NETO, AGSS
71119715272492 | SECA NETO, A. G. S.
06051248911331 | ESCARTÍN, E. R.
88738440986018 | SANTOS, E. C.
11562366111272 | Contreras, F. R. L.
11562366111272 | CONTRERAS, F.R.L.
87804302005744 | OLIVEIRA, F. B. S.
87804302005744 | Oliveira, Francisco B.S.
87804302005744 | OLIVEIRA, FRANCISCO B. S.
87804302005744 | OLIVEIRA, FRANCISCO BRUNO SOUZA
95382890755450 | GRAPPERON-MATHIS, T.
44387433155250 | CARBONERA, Joel Luis
44387433155250 | CARBONERA, JOEL LUIS
16546400683999 | BAIOCO, G. B.
16546400683999 | BUSICHIA, G.
16546400683999 | BUSICHIA BAIOCO, GISELE
16546400683999 | BAIOCO, GISELE B.
16546400683999 | BAIOCO, GISELE BUSICHIA
57958225738520 | SOUZA, F. C. M.
57958225738520 | Francisco Carlos M. Souza
57958225738520 | SOUZA, FRANCISCO CARLOS M.
55233538172646 | SOARES, A. H. M.
55233538172646 | SOARES, ANTONIO
55233538172646 | Soares, Antônio
00601083852823 | RODRIGUES, A. L.
00601083852823 | RODRIGUES, A
00601083852823 | RODRIGUES, ALEXANDRE
00601083852823 | Alexandre Rodrigues Loureiros
00601083852823 | LOUREIROS, ALEXANDRE RODRIGUES
40074731614629 | GUILAYN, J. E. B.
46303577453043 | COLETTA, L. F. S.
46303577453043 | COLETTA, LUIZ F.S.
46303577453043 | COLETTA, LUIZ FERNANDO SOMMAGGIO
46303577453043 | COLETTA, LUIZ F. S.
35213619257246 | RIBEIRO, P. R. A.
35213619257246 | DE ALMEIDA RIBEIRO, PAULO ROGÉRIO
35213619257246 | DE ALMEIDA RIBEIRO, PAULO ROGERIO
35213619257246 | de Almeida Riberio, Paulo Rogério
35213619257246 | Ribeiro, Paulo
35213619257246 | de Almeida Ribeiro, Paulo Rogério
35213619257246 | RIBEIRO, PAULO ROGÉRIO DE ALMEIDA
11303079806761 | BANON, G. J. F.
01155355210327 | SCHWEITZER, Christiane Marie
01155355210327 | Schweitzer, CM
01155355210327 | Schweitzer, Christiane Marie
01155355210327 | Schweitzer, C. M.
01155355210327 | SCHWEITZER, CHRISTIANE M.
05979228894386 | DÂMASO, A. V. L.
05979228894386 | Damaso, Antonio
05979228894386 | Damaso, A. V. L.
05979228894386 | DÂMASO, ANTÔNIO
37384367302439 | MÜLLER, S.
60120644445370 | BRAGANHOLO, V.
60120644445370 | BRAGANHOLO, Vanessa
60120644445370 | BRAGANHOLO, Vanessa P.
49390900009593 | ARAI, E.
49390900009593 | Arai, Egidio
49390900009593 | ARAI, EGÍDIO
19007386914899 | CARLE, G.
44423463893899 | LUCENA FILHO, G. J.
04347616155745 | UZIN PACHECO Luis Paulo
69887838939497 | PRADO, José Pacheco de Almeida
81901675479205 | COELHO, D. B.
09664169018101 | PEDONE, F.
09664169018101 | PEDONE, FERNANDO
09664169018101 | FERNANDO PEDONE
09664169018101 | Fernando Pedone
09664169018101 | F. PEDONE
50011326518341 | BARROS, Renato Correia de
20846825496277 | de Paula-Oliveira, A. G.
