id_autor|area|subarea|esp
96913881679975|Ciência da Computação|Metodologia e Técnicas da Computação|Inteligência Artificial
96913881679975|Ciência da Computação|Metodologia e Técnicas da Computação|Processamento de Imagens
96913881679975|Ciência da Computação|Metodologia e Técnicas da Computação|Linguagens de Programação
96913881679975|Ciência da Computação|Metodologia e Técnicas da Computação|Sistemas de Informação
96913881679975|Ciência da Computação|Data Mining|
23958115215905|Ciência da Computação|Sistemas de Computação|Computação Musical
23958115215905|Ciência da Computação|Sistemas de Computação|Interação Humano Computador
23958115215905|Ciência da Computação|Metodologia e Técnicas da Computação|Web Design
23958115215905|Ciência da Computação|Informática na Educação|
44364437159422|Engenharia Mecânica||
12195457575500|Ciência da Computação|IoT (Internet of Things)|
12195457575500|Ciência da Computação|Comunicação Tempo-Real|
12195457575500|Ciência da Computação|Sistemas de Computação|Rede de Computadores
12195457575500|Ciência da Computação|Sistemas Distribuídos|
96441655292018|Engenharia Elétrica|Circuitos Elétricos, Magnéticos e Eletrônicos|
96441655292018|Engenharia Elétrica|Telecomunicações|
96441655292018|Ciência da Computação|Metodologia e Técnicas da Computação|Linguagens de Programação
96441655292018|Engenharia Elétrica||
96441655292018|Engenharia Elétrica|Circuitos Elétricos, Magnéticos e Eletrônicos|Circuitos Lineares e Não-Lineares
96441655292018|Engenharia Elétrica|Eletrônica Industrial, Sistemas e Controles Eletrônicos|Automação Eletrônica de Processos Elétricos e Industriais
91483000525292|Ciência da Computação|Extração de Conhecimento|
91483000525292|Ciência da Computação|Mineração de Textos|
91483000525292|Ciência da Computação|Mineração de Dados|
91483000525292|Ciência da Computação|Epistemologia|
91483000525292|Ciência da Computação|Ontologia|
91483000525292|Ciência da Computação|Linguagens de Programação|
97916965255705|Microeletrônica||
97916965255705|Ciência da Computação|Sistemas de Computação|Hardware
97916965255705|Ciência da Computação|Sistemas de Computação|Arquitetura de Sistemas de Computação
97916965255705|Ciência da Computação|Metodologia e Técnicas da Computação|Linguagens de Programação
43377806715007|Ciência da Computação||
43377806715007|Ciência da Computação|Processamento de imagens|
43377806715007|Ciência da Computação|Computação natural|
43377806715007|Ciência da Computação|Aprendizado de máquina|
43377806715007|Ciência da Computação|Mineração de dados|
22110232147076|Ciência da Computação|Computação Gráfica|Simulação
22110232147076|Ciência da Computação|Computação Gráfica|Jogos
