id_autor|id_idioma|link|idioma|desIdioma
96913881679975|0|969138816799750|PT|Português
96913881679975|1|969138816799751|EN|Inglês
96913881679975|2|969138816799752|JA|Japonês
96913881679975|3|969138816799753|ES|Espanhol
23958115215905|0|239581152159050|PT|Português
23958115215905|1|239581152159051|EN|Inglês
23958115215905|2|239581152159052|ES|Espanhol
23958115215905|3|239581152159053|IT|Italiano
23958115215905|4|239581152159054|FR|Francês
44364437159422|0|443644371594220|PT|Português
44364437159422|1|443644371594221|DE|Alemão
44364437159422|2|443644371594222|EN|Inglês
12195457575500|0|121954575755000|PT|Português
12195457575500|1|121954575755001|EN|Inglês
12195457575500|2|121954575755002|ES|Espanhol
96441655292018|0|964416552920180|EN|Inglês
96441655292018|1|964416552920181|ES|Espanhol
96441655292018|2|964416552920182|PT|Português
91483000525292|0|914830005252920|EN|Inglês
97916965255705|0|979169652557050|EN|Inglês
97916965255705|1|979169652557051|ES|Espanhol
43377806715007|0|433778067150070|PT|Português
43377806715007|1|433778067150071|EN|Inglês
22110232147076|0|221102321470760|EN|Inglês
10659969702455|0|106599697024550|PT|Português
10659969702455|1|106599697024551|IT|Italiano
10659969702455|2|106599697024552|EN|Inglês
10659969702455|3|106599697024553|ES|Espanhol
23809873085852|0|238098730858520|EN|Inglês
23809873085852|1|238098730858521|DE|Alemão
29233355476625|0|292333554766250|EN|Inglês
29233355476625|1|292333554766251|FR|Francês
29233355476625|2|292333554766252|ES|Espanhol
26358605322965|0|263586053229650|EN|Inglês
26358605322965|1|263586053229651|ES|Espanhol
26358605322965|2|263586053229652|IT|Italiano
54585240202717|0|545852402027170|PT|Português
54585240202717|1|545852402027171|EN|Inglês
54585240202717|2|545852402027172|FR|Francês
54585240202717|3|545852402027173|ES|Espanhol
54585240202717|4|545852402027174|IT|Italiano
33981436042117|0|339814360421170|EN|Inglês
29796450556482|0|297964505564820|EN|Inglês
29796450556482|1|297964505564821|ES|Espanhol
29796450556482|2|297964505564822|DE|Alemão
84145280240578|0|841452802405780|PT|Português
84145280240578|1|841452802405781|DE|Alemão
84145280240578|2|841452802405782|EN|Inglês
84145280240578|3|841452802405783|ES|Espanhol
31705260681319|0|317052606813190|EN|Inglês
67454249660429|0|674542496604290|EN|Inglês
67454249660429|1|674542496604291|FR|Francês
31046457146533|0|310464571465330|PT|Português
31046457146533|1|310464571465331|EN|Inglês
31046457146533|2|310464571465332|ES|Espanhol
31046457146533|3|310464571465333|FR|Francês
31046457146533|4|310464571465334|DE|Alemão
31046457146533|5|310464571465335|IT|Italiano
31046457146533|6|310464571465336|CA|Catalão
31046457146533|7|310464571465337|EO|Esperanto
69944592699552|0|699445926995520|EN|Inglês
47384210554210|0|473842105542100|EN|Inglês
47384210554210|1|473842105542101|ES|Espanhol
85528501919153|0|855285019191530|EN|Inglês
85528501919153|1|855285019191531|ES|Espanhol
85528501919153|2|855285019191532|FR|Francês
85528501919153|3|855285019191533|PT|Português
16513273272803|0|165132732728030|EN|Inglês
16513273272803|1|165132732728031|ES|Espanhol
16513273272803|2|165132732728032|FR|Francês
83781586520627|0|837815865206270|PT|Português
83781586520627|1|837815865206271|EN|Inglês
83781586520627|2|837815865206272|DE|Alemão
83781586520627|3|837815865206273|ES|Espanhol
44685237701056|0|446852377010560|EU|Basco
44685237701056|1|446852377010561|FR|Francês
44685237701056|2|446852377010562|EN|Inglês
44685237701056|3|446852377010563|SQ|Albanês
44685237701056|4|446852377010564|SN|Shona
44685237701056|5|446852377010565|BB|Berbere
44685237701056|6|446852377010566|MT|Maltês
71119715272492|0|711197152724920|EN|Inglês
06051248911331|0|060512489113310|EN|Inglês
06051248911331|1|060512489113311|ES|Espanhol
06051248911331|2|060512489113312|PT|Português
06051248911331|3|060512489113313|RU|Russo
88738440986018|0|887384409860180|EN|Inglês
88738440986018|1|887384409860181|ES|Espanhol
88738440986018|2|887384409860182|IT|Italiano
11562366111272|0|115623661112720|EN|Inglês
11562366111272|1|115623661112721|ES|Espanhol
11562366111272|2|115623661112722|PT|Português
87804302005744|0|878043020057440|PT|Português
87804302005744|1|878043020057441|EN|Inglês
87804302005744|2|878043020057442|ES|Espanhol
87804302005744|3|878043020057443|FR|Francês
95382890755450|0|953828907554500|FR|Francês
95382890755450|1|953828907554501|EN|Inglês
95382890755450|2|953828907554502|PT|Português
44387433155250|0|443874331552500|EN|Inglês
44387433155250|1|443874331552501|ES|Espanhol
44387433155250|2|443874331552502|IT|Italiano
44387433155250|3|443874331552503|FR|Francês
16546400683999|0|165464006839990|EN|Inglês
57958225738520|0|579582257385200|EN|Inglês
57958225738520|1|579582257385201|ES|Espanhol
55233538172646|0|552335381726460|EN|Inglês
00601083852823|0|006010838528230|PT|Português
00601083852823|1|006010838528231|EN|Inglês
