codInstituicao|sigla|nomeInstituicao
008700000009|INPE|Instituto Nacional de Pesquisas Espaciais
IZEO00000008|IFRS|Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul
319000000000|IFSC|Instituto Federal de Santa Catarina
000200000993|COPPE|COPPE
008900000002|UFC|Universidade Federal do Ceará
087000000006|UFMS|Universidade Federal de Mato Grosso do Sul
000500000000|UFF|Universidade Federal Fluminense
024000000008|UnB|Universidade de Brasília
002100000009|UFPE|Universidade Federal de Pernambuco
128000000007|YORK|University of York
198100000000|UTFPR|Universidade Tecnológica Federal do Paraná
009200000008|EMBRAPA|Empresa Brasileira de Pesquisa Agropecuária
032600000000|UERJ|Universidade do Estado do Rio de Janeiro
520900000003|IFTM|Instituto Federal do Triângulo Mineiro
807700000001|UNICSUL|Universidade Cruzeiro do Sul
822900000009|EPAGRI|Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina
001400000995|FCMUNI|Faculdade de Ciências Médicas - UNICAMP
001500000008|UFU|Universidade Federal de Uberlândia
000600000990|PT|Padaria Tabajara
542000000008|ISPJAE|Instituto Superior Politecnico Jose Antonio Echeverria
363100000000|UESC|Universidade Estadual de Santa Cruz
516400000006|IBM BRASIL|IBM Research Brazil
006700000002|USP|Universidade de São Paulo
032300000004|UFPI|Universidade Federal do Piauí
003100000007|CETEM|Centro de Tecnologia Mineral
033000000007|UNESP|Universidade Estadual Paulista Júlio de Mesquita Filho
870100000004|INMETRO|Instituto Nacional de Metrologia, Qualidade e Tecnologia
080200000002|TUM|Technische Universität München
000500000999|PETE|PETE COMÉRCIO DE MATERIAIS DIDÁTICOS E PEDAGÒGICOS LTDA
985600580918|PM/GO|Polícia Militar do Estado de Goiás
J80E00000003|USI|Università della Svizzera Italiana
IXXU00000008|IFSP|Instituto Federal de São Paulo
985600190540|CGEE|Centro de Gestão e Estudos Estratégicos
J84A00000009|ÚNICA|Única Educacional
059100000002|UNIFEI|Universidade Federal de Itajubá
033400000004|UFOP|Universidade Federal de Ouro Preto
119300000003|UDESC|Universidade do Estado de Santa Catarina
000700000992|FFALM*|Fundação Faculdades Luiz Meneghel
000600000001|PUCRS|Pontifícia Universidade Católica do Rio Grande do Sul
045100000002|BACEN|Banco Central do Brasil
020200000009|UFRJ|Universidade Federal do Rio de Janeiro
247500000009|UMINHO|Universidade do Minho
046100000000|IFS|Instituto Federal de Sergipe
117800000006|PUC Minas|Pontifícia Universidade Católica de Minas Gerais
032900000005|UEM|Universidade Estadual de Maringá
007000000008|UFS|Universidade Federal de Sergipe
019200000005|UFRGS|Universidade Federal do Rio Grande do Sul
985600224283|UT|Eberhard Karls Universität Tübingen
032700000001|UFSM|Universidade Federal de Santa Maria
008200000000|UFAM|Universidade Federal do Amazonas
033300000002|UFMG|Universidade Federal de Minas Gerais
201100000003|FAP|Fundação Antônio Prudente
003900000001|FIOCRUZ|Fundação Oswaldo Cruz
235800000000|UNIV-ORLEANS|Université d'Orléans
869900000005|IME|Instituto Militar de Engenharia
033700000000|UFRN|Universidade Federal do Rio Grande do Norte
000100000991|UFAL|Universidade Federal de Alagoas - Campus Arapiraca
I3CJ00000006|UFGD|Universidade Federal da Grande Dourados
023200000003|IBGE|Fundação Instituto Brasileiro de Geografia e Estatística
021700000006|UFERSA|Universidade Federal Rural do Semi-Árido
007900000004|UNICAMP|Universidade Estadual de Campinas
001900000994|IWU|Indiana Wesleyan University
008000000006|UEL|Universidade Estadual de Londrina
029100000000|UFBA|Universidade Federal da Bahia
118500000009|UNIPÊ|Centro Universitário de João Pessoa
985600193221|UO|Universidad del Oriente Cuba
010300000003|UFPR|Universidade Federal do Paraná
020700000008|PUC/PR|Pontifícia Universidade Católica do Paraná
004300000009|UFSC|Universidade Federal de Santa Catarina
001700000990|IFC|Instituto Federal Catarinense
870400000000|CEFET/MG|Centro Federal de Educação Tecnológica de Minas Gerais
000700000003|IPT|Instituto de Pesquisas Tecnológicas do Estado de São Paulo
006200000003|UNIFESP|Universidade Federal de São Paulo
985600147416|TECH CHROM|Tech Chrom Instrumentos Analíticos
J2HF00000009|UFOPA|Universidade Federal do Oeste do Pará
000900000996|IFBA|Instituto Federal de Educação, Ciência e Tecnologia da Bahia
JZVH00000005|CoinWISE|CoinWISE Soluções e Serviços Digitais
004400000000|UFPA|Universidade Federal do Pará
000300000006|UFLA|Universidade Federal de Lavras
294800000006|UNESA|Universidade Estácio de Sá
008300000001|UFPB|Universidade Federal da Paraíba
010600000009|UFG|Universidade Federal de Goiás
033800000001|UFRPE|Universidade Federal Rural de Pernambuco
623800000002|IF-Farroupilha|Instituto Federal Farroupilha
226100000009|IFG|Instituto Federal de Educação, Ciência e Tecnologia de Goiás
000300000995|RSDB|Rohde&Schwarz do Brasil
000100000002|UFMA|Universidade Federal do Maranhão
IZCF00000003|UNIPAMPA|Universidade Federal do Pampa
016700000000|FURG|Universidade Federal do Rio Grande
061400000000|UPE|Universidade de Pernambuco
103900000008|SHEFFIELD|University of Sheffield
001300000993|UNIFESP|"Universidade Federal de São Paulo - ""campus"" São José dos Campos"
071500000009|PUC Campinas|Pontifícia Universidade Católica de Campinas
033500000006|UFSCAR|Universidade Federal de São Carlos
482000000000|IFAM|Instituto Federal de Educação, Ciência e Tecnologia do Amazonas
350700000009|CEFET/RJ|Centro Federal de Educação Tecnológica Celso Suckow da Fonseca
281500000009|IFRN|Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte
033600000008|UFV|Universidade Federal de Viçosa
011100000008|PUC-Rio|Pontifícia Universidade Católica do Rio de Janeiro
200100000005|UL|Universidade de Lisboa
204400000003|UEFS|Universidade Estadual de Feira de Santana
047500000006|IFSUL|Instituto Federal Sul-Rio-Grandense
126900000007|CAM|University of Cambridge
000400000997|BCB|Banco Central do Brasil
